Crop,Date,Price
Wheat,2024-01-15,21.50
Wheat,2024-02-15,22.10
Wheat,2024-03-15,21.80
Wheat,2024-04-15,22.50
Wheat,2024-05-15,22.30
Wheat,2024-06-15,22.90
Wheat,2024-07-15,22.60
Wheat,2024-08-15,23.20
Wheat,2024-09-15,23.00
Wheat,2024-10-15,23.80
Wheat,2024-11-15,23.50
Wheat,2024-12-15,24.00
Rice,2024-01-15,34.00
Rice,2024-02-15,34.80
Rice,2024-03-15,34.20
Rice,2024-04-15,35.00
Rice,2024-05-15,34.50
Rice,2024-06-15,35.50
Rice,2024-07-15,35.00
Rice,2024-08-15,36.00
Rice,2024-09-15,35.80
Rice,2024-10-15,36.50
Rice,2024-11-15,36.20
Rice,2024-12-15,37.00
Potato,2024-01-15,17.00
Potato,2024-02-15,17.80
Potato,2024-03-15,17.20
Potato,2024-04-15,18.50
Potato,2024-05-15,18.00
Potato,2024-06-15,19.00
Potato,2024-07-15,18.50
Potato,2024-08-15,19.80
Potato,2024-09-15,19.20
Potato,2024-10-15,20.50
Potato,2024-11-15,20.00
Potato,2024-12-15,21.00
Sugarcane,2024-01-15,3.10
Sugarcane,2024-02-15,3.15
Sugarcane,2024-03-15,3.12
Sugarcane,2024-04-15,3.20
Sugarcane,2024-05-15,3.18
Sugarcane,2024-06-15,3.25
Sugarcane,2024-07-15,3.22
Sugarcane,2024-08-15,3.30
Sugarcane,2024-09-15,3.28
Sugarcane,2024-10-15,3.35
Sugarcane,2024-11-15,3.32
Sugarcane,2024-12-15,3.40
Jowar,2024-01-15,28.00
Jowar,2024-02-15,28.50
Jowar,2024-03-15,28.20
Jowar,2024-04-15,29.00
Jowar,2024-05-15,28.80
Jowar,2024-06-15,29.50
Jowar,2024-07-15,29.20
Jowar,2024-08-15,30.00
Jowar,2024-09-15,29.80
Jowar,2024-10-15,30.50
Jowar,2024-11-15,30.20
Jowar,2024-12-15,31.00
Maize,2024-01-15,20.50
Maize,2024-02-15,20.90
Maize,2024-03-15,20.70
Maize,2024-04-15,21.20
Maize,2024-05-15,21.00
Maize,2024-06-15,21.60
Maize,2024-07-15,21.30
Maize,2024-08-15,22.00
Maize,2024-09-15,21.80
Maize,2024-10-15,22.40
Maize,2024-11-15,22.10
Maize,2024-12-15,22.80
Barley,2024-01-15,23.00
Barley,2024-02-15,23.50
Barley,2024-03-15,23.20
Barley,2024-04-15,23.90
Barley,2024-05-15,23.70
Barley,2024-06-15,24.20
Barley,2024-07-15,23.90
Barley,2024-08-15,24.60
Barley,2024-09-15,24.30
Barley,2024-10-15,25.00
Barley,2024-11-15,24.70
Barley,2024-12-15,25.30
Soybean,2024-01-15,48.00
Soybean,2024-02-15,48.80
Soybean,2024-03-15,48.20
Soybean,2024-04-15,49.50
Soybean,2024-05-15,49.00
Soybean,2024-06-15,50.00
Soybean,2024-07-15,49.60
Soybean,2024-08-15,50.80
Soybean,2024-09-15,50.20
Soybean,2024-10-15,51.20
Soybean,2024-11-15,50.80
Soybean,2024-12-15,52.00
Mustard,2024-01-15,52.00
Mustard,2024-02-15,52.70
Mustard,2024-03-15,52.30
Mustard,2024-04-15,53.20
Mustard,2024-05-15,53.00
Mustard,2024-06-15,53.80
Mustard,2024-07-15,53.40
Mustard,2024-08-15,54.20
Mustard,2024-09-15,53.90
Mustard,2024-10-15,54.80
Mustard,2024-11-15,54.50
Mustard,2024-12-15,55.20
Gram,2024-01-15,41.00
Gram,2024-02-15,41.60
Gram,2024-03-15,41.20
Gram,2024-04-15,41.90
Gram,2024-05-15,41.70
Gram,2024-06-15,42.40
Gram,2024-07-15,42.00
Gram,2024-08-15,42.80
Gram,2024-09-15,42.50
Gram,2024-10-15,43.20
Gram,2024-11-15,42.90
Gram,2024-12-15,43.80
